,pca,pca_umap,pca_tsne
VCX,0.999999993436228,0.0484984609026544,0.0099655993652734
VCX2,0.999999982763391,0.154886208325601,0.329048731476566
VCX3B,0.999999992073186,0.031071468150453,0.0823893803615958
CLDN34,0.999999982898372,0.227195403257296,0.136312543997421
CBLL2,0.999999997644619,0.149445494566697,0.117078715364578
DDX53,0.999999994445966,0.0756914924735077,0.0277887505490577
MAGEB18,0.999999993949879,0.301232493058242,0.145108513853615
MAGEB6B,0.999999995919631,0.0009574738012449,0.0057086043711937
MAGEB6,0.999999987426144,0.069774747742283,0.0834333190467432
MAGEB5,0.999999994819246,0.12489020158768,0.121674773247597
DCAF8L1,0.999999995569522,0.120952713248966,0.0928503013221573
MAGEB4,0.999999973670094,0.770387002879489,0.769257253506345
MAGEB1,0.999999991799227,0.194558284446382,0.100661803213315
NR0B1,0.999999982555587,0.0379304073143595,0.0512424479647813
FTHL17,0.999999993767852,0.208787973928791,0.164476911864889
FAM47A,0.999999989897303,0.204155122831267,0.162050338666661
FAM47B,0.999999994212683,0.3597596082082,0.339110952524696
FAM47C,0.999999985268018,0.613975793562156,0.101945855207916
SPACA5B,0.999999988511482,0.492788706706422,0.442410585192026
GAGE13,0.999999983349002,0.455866139633685,0.450718827449643
GAGE2E,0.999999994217167,0.205905104680587,0.340324242955414
GAGE12F,0.999999980896017,0.461725831391709,0.404833258750324
SSX2B,0.999999998205858,0.252255539820886,0.0775358485509422
SPANXN5,0.999999983687584,0.285765400822714,0.275691485419624
PAGE2,0.99999999098922,0.0887782310024615,0.0934380089956861
MTRNR2L10,0.999999990746813,0.0155992379195816,0.0168615826297891
RAB41,0.999999997811322,0.316470197380191,0.290514602473088
PABPC1L2B,0.999999961229253,0.258644278939208,0.260015687171988
PABPC1L2A,0.9999999656892,0.231329358303383,0.395690882717683
CDX4,0.999999997761431,0.103032547369747,0.211849140794796
TGIF2LX,0.999999994083995,0.0295543888462418,0.103970759306532
NXF2,0.999999966786958,0.197483849132247,0.478272576516142
RAB40AL,0.999999991573374,0.399923153481544,0.330119072955845
BEX1,0.999999992720298,0.0191940207251089,0.013818287858088
H2BFWT,0.999999989830279,0.124577196735106,0.409205123570092
TMSB15B.1,0.999999989830279,0.124577196735106,0.409205123570092
SERPINA7,0.999999994561542,0.135435278468269,0.0582064203059699
CT83,0.999999969184665,0.165451651792597,0.55273586533332
CT47B1,0.999999992682514,0.0968135527041483,0.111633399927796
DCAF12L1,0.999999995452228,0.115935716169284,0.134973454348456
ACTRT1,0.99999998749328,0.0484817772159937,0.0651640611683624
OR13H1,0.999999993375528,0.214064821664948,0.304248757774385
TFDP3,0.999999988435679,0.291056434441695,0.207684173482265
ETDB,0.99999997751244,0.0962343985802912,0.255768117881766
CT45A1,0.999999987429914,0.999999971306154,0.0366606411233259
CDR1,0.999999985944154,0.16038010572151,0.278939711979707
SPANXB1,0.999999988462017,0.0613019901777372,0.077097528396599
SPANXC,0.999999994132749,0.387758030556726,0.354248083898704
SPANXA1,0.999999981309657,0.255005620982246,0.239882913838129
SPANXD,0.999999976872199,0.435679640721353,0.234464804048121
SPANXN2,0.999999984946259,0.0157156110407592,0.016314774046781
SPANXN1,0.999999987388097,0.286206252499043,0.283030731980833
AC231656.1,0.999999993120314,0.197286192731983,0.172083496346356
MAGEA3,0.999999989976404,0.300764054804622,0.35048525422701
MAGEA6,0.999999977272094,0.187778717254141,0.272678176195195
AC236972.4,0.999999962212158,0.999999941384126,0.0907948638829191
OPN1MW,0.99999999484311,0.0099990747904069,0.0477978652253869
DEFB126,0.999999996032775,0.184940613642954,0.137670706969989
DEFB128,0.999999995523081,0.0373814210461837,0.0708729415875467
PROKR2,0.999999994967522,0.0419926065607874,0.0290817280185206
AL034430.2,0.999999989069438,0.50715923227483,0.370818834017662
