,pca,pca_umap,pca_tsne
AL627309.4,0.999999990702547,0.22792672533283,0.179233281908381
AP006222.2,0.999999956779819,0.18906813246432,0.232040431929228
AL645608.6,0.999999981324987,0.387562565605816,0.377816559178919
AL645608.2,0.999999992753068,0.18890824616819,0.24111013436554
SAMD11,0.999999996823604,0.0196156207800874,5.61542629996803e-05
PERM1,0.999999982898406,0.62252554396075,0.675168762822289
AL645608.7,0.999999988572667,0.282189701784173,0.249012578972873
AL645608.1,0.999999993406286,0.0422922186183747,0.109885142967354
TTLL10-AS1,0.999999976280227,0.47191035622637,0.583487724834669
TTLL10,0.999999992210619,0.195142763731013,0.0923853716635379
C1QTNF12,0.999999987137511,0.0285539488662615,0.0024243232502302
AL162741.1,0.999999991760489,0.0049498266494846,0.0931710028445133
LINC01786,0.999999989480531,0.0130438696522641,0.0179678254879568
SCNN1D,0.999999995370757,0.037146578686239,0.0431174675952271
AL139287.1,0.999999995512341,0.0698074720294551,0.0873324864775729
TAS1R3,0.999999992685612,0.03970671317869,0.0282033537519229
ANKRD65,0.999999990684275,0.0288664482746959,0.0182800780516725
TMEM240,0.999999992532953,0.0091290052716648,0.0155665020808949
AL109917.1,0.999999997727907,0.0163503881794257,0.0167587938284887
CALML6,0.999999986229196,0.255031522206154,0.184638231981137
AL391845.2,0.999999986182865,0.235862171902589,0.21008735780223
GABRD,0.999999983218678,0.128881352228567,0.133263003012083
AL590822.1,0.999999987511128,0.0352048639056715,0.0456869216092326
AL590822.3,0.9999999802761,0.0559085486745126,0.0215954855793801
AL513477.2,0.999999988071695,0.132142441235132,0.0858947054264351
PRDM16,0.999999993012718,0.0535034776196857,0.103337287006522
AL354743.2,0.999999955573453,0.299113820057195,0.260540739847411
ARHGEF16,0.99999998251687,0.0517046225348283,0.143216671481175
TP73,0.999999982919445,0.0038173495920416,0.0059425980860725
LINC02780,0.999999971406363,0.48861110048021,0.353515259142827
AL805961.1,0.999999992375606,0.0016792890733532,0.0698350364141288
AJAP1,0.999999998482308,0.042202733609988,0.463641239272831
Z98886.1,0.999999960454077,0.327928116976941,0.11029210258208
CHD5,0.999999989158368,0.0419380893713569,0.179351535758496
HES2,0.999999955291261,0.309327735063243,0.270039879230296
ESPN,0.999999995625134,0.0202358207457503,0.0026055420475189
PLEKHG5,0.999999989990724,0.0825054888513128,0.0432158664544752
LINC01672,0.999999988315546,0.0153174544628801,0.0392432065084187
